country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,PM2.5,89,359,169
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,NH3,10,11,11
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","16-12-2025 15:00:00",26.80365,84.51954,PM10,39,135,89
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.251013,86.989001,CO,11,17,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.265194,87.012947,PM2.5,22,92,62
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","16-12-2025 15:00:00",27.103358,93.679645,SO2,9,10,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,PM10,60,154,95
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,PM2.5,38,148,93
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,CO,26,126,42
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,OZONE,10,14,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","16-12-2025 15:00:00",16.5150833,80.5181667,OZONE,5,64,42
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,SO2,10,14,14
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,PM10,20,376,172
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,NO2,35,41,38
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,SO2,7,9,8
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","16-12-2025 15:00:00",26.146529,87.454184,OZONE,9,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,SO2,10,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,CO,44,66,52
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","16-12-2025 15:00:00",24.75746,84.366208,PM2.5,37,200,87
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,PM10,80,107,93
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,NO2,40,97,63
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,SO2,10,13,12
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,OZONE,7,64,44
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,PM10,44,55,48
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","16-12-2025 15:00:00",26.349082,92.68449,CO,11,26,22
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,PM10,107,126,116
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,PM2.5,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","16-12-2025 15:00:00",26.146529,87.454184,PM10,31,150,91
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","16-12-2025 15:00:00",26.146529,87.454184,NH3,4,5,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,OZONE,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,NH3,3,4,4
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","16-12-2025 15:00:00",26.181742,91.78063,PM2.5,45,389,221
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","16-12-2025 15:00:00",25.204762,85.514960,OZONE,1,18,4
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","16-12-2025 15:00:00",25.567520,83.966379,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","16-12-2025 15:00:00",25.567520,83.966379,SO2,8,13,11
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,PM2.5,12,140,76
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,CO,42,57,49
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","16-12-2025 15:00:00",24.7955,84.9994,PM2.5,61,301,143
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","16-12-2025 15:00:00",24.7955,84.9994,OZONE,19,21,20
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","16-12-2025 15:00:00",24.762518,84.982348,SO2,4,10,8
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","16-12-2025 15:00:00",26.146529,87.454184,CO,3,34,21
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,PM2.5,35,110,73
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,PM10,40,114,83
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,OZONE,7,11,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","16-12-2025 15:00:00",24.75746,84.366208,SO2,4,14,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,NO2,9,16,12
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,OZONE,9,56,23
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,NO2,14,17,15
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,SO2,17,24,18
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,CO,26,38,33
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,OZONE,16,26,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,NO2,14,20,17
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,SO2,9,13,10
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,CO,24,40,35
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,OZONE,21,35,30
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,OZONE,8,16,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA","16-12-2025 15:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,PM10,37,98,62
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,OZONE,4,78,45
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,PM10,43,110,86
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,CO,25,40,36
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,CO,34,68,56
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,OZONE,51,57,55
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","16-12-2025 15:00:00",17.72,83.3,NH3,3,4,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","16-12-2025 15:00:00",17.72,83.3,SO2,8,36,16
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","16-12-2025 15:00:00",17.72,83.3,OZONE,49,96,75
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","16-12-2025 15:00:00",13.67,79.35,PM2.5,142,307,239
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","16-12-2025 15:00:00",13.67,79.35,SO2,6,9,7
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","16-12-2025 15:00:00",13.67,79.35,CO,4,58,34
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,CO,32,35,34
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,NO2,7,10,10
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,NH3,5,11,5
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","16-12-2025 15:00:00",26.187500,91.744194,SO2,19,34,24
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,PM2.5,129,184,154
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,NH3,6,7,6
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","16-12-2025 15:00:00",11.654054,92.734055,PM10,24,39,30
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","16-12-2025 15:00:00",26.80365,84.51954,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.251013,86.989001,OZONE,10,21,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.265194,87.012947,OZONE,17,85,55
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","16-12-2025 15:00:00",25.204762,85.514960,PM2.5,35,314,161
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","16-12-2025 15:00:00",25.204762,85.514960,PM10,27,159,93
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","16-12-2025 15:00:00",25.204762,85.514960,CO,2,16,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","16-12-2025 15:00:00",25.567520,83.966379,PM2.5,68,207,146
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,PM10,14,122,81
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,SO2,43,53,47
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,OZONE,152,242,238
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","16-12-2025 15:00:00",24.7955,84.9994,CO,34,108,46
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","16-12-2025 15:00:00",24.792403,84.992416,SO2,14,17,16
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","16-12-2025 15:00:00",25.697189,85.245900,PM2.5,92,254,206
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,CO,35,46,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,OZONE,81,104,85
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","16-12-2025 15:00:00",17.72,83.3,NO2,13,86,48
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","16-12-2025 15:00:00",27.103358,93.679645,NO2,6,7,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","16-12-2025 15:00:00",27.103358,93.679645,NH3,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","16-12-2025 15:00:00",27.103358,93.679645,CO,7,46,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","16-12-2025 15:00:00",27.103358,93.679645,OZONE,5,6,5
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,PM2.5,80,319,158
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,NO2,4,8,7
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","16-12-2025 15:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","16-12-2025 15:00:00",26.181742,91.78063,CO,30,109,54
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","16-12-2025 15:00:00",26.349082,92.68449,NH3,4,4,4
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,SO2,4,8,8
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","16-12-2025 15:00:00",16.486692,80.699436,SO2,7,14,9
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,PM2.5,81,116,94
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","16-12-2025 15:00:00",16.509717,80.612222,NH3,4,8,7
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,SO2,14,18,16
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,OZONE,12,36,23
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,SO2,2,23,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","16-12-2025 15:00:00",26.187500,91.744194,OZONE,17,18,17
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,PM2.5,45,125,87
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,NH3,7,7,7
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,NH3,6,7,7
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,PM10,46,92,74
